full_name,potential,season
Dalano Banton,0.0800,2024
Oshae Brissett,0.1538,2024
Jaylen Brown,0.2500,2024
JD Davison,0.0455,2024
Sam Hauser,0.0741,2024
Jrue Holiday,0.4118,2024
Al Horford,0.4211,2024
Luke Kornet,0.2069,2024
Svi Mykhailiuk,0.1852,2024
Drew Peterson,0.0000,2024
Kristaps Porziņģis,0.2414,2024
Payton Pritchard,0.1154,2024
Neemias Queta,0.0800,2024
Jaden Springer,0.0909,2024
Lamar Stevens,0.1111,2024
Jayson Tatum,0.2308,2024
Xavier Tillman Sr.,0.1200,2024
Jordan Walsh,0.0000,2024
Derrick White,0.2000,2024
Christian Braun,0.0000,2023
Bruce Brown,0.1481,2023
Thomas Bryant,0.1923,2023
Kentavious Caldwell-Pope,0.3000,2023
Vlatko Čančar,0.1154,2023
Aaron Gordon,0.2857,2023
Jeff Green,0.3784,2023
Bones Hyland,0.0435,2023
Reggie Jackson,0.3333,2023
Nikola Jokić,0.2500,2023
DeAndre Jordan,0.4000,2023
Jamal Murray,0.1923,2023
Zeke Nnaji,0.0909,2023
Michael Porter Jr.,0.1200,2023
Davon Reed,0.1071,2023
Ish Smith,0.3429,2023
Peyton Watson,0.0000,2023
Jack White,0.0000,2023
